Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,34000.0,34275.0,33600.0,34175.0,33702.56640625,9587400
2021-01-05,34300.0,35450.0,34250.0,35450.0,34959.94140625,20966200
2021-01-06,35250.0,35375.0,34400.0,34725.0,34244.9609375,17950700
2021-01-07,35000.0,35250.0,34550.0,34825.0,34343.578125,14272000
2021-01-08,35175.0,35400.0,34875.0,35250.0,34762.703125,15006700
2021-01-11,35750.0,36800.0,35725.0,36725.0,36217.3125,33806900
2021-01-12,36725.0,36900.0,35800.0,35800.0,35305.1015625,19047000
2021-01-13,36225.0,36375.0,35350.0,35600.0,35107.8671875,15316300
2021-01-14,35250.0,35450.0,34975.0,35100.0,34614.77734375,17863900
2021-01-15,35475.0,35500.0,34200.0,34775.0,34294.26953125,17970700
2021-01-18,34775.0,35625.0,34225.0,35600.0,35107.8671875,17268600
2021-01-19,35600.0,35600.0,35025.0,35475.0,34984.59375,14755400
2021-01-20,35825.0,36475.0,35350.0,35475.0,34984.59375,21443200
2021-01-21,36400.0,36500.0,35300.0,35375.0,34885.9765625,13285600
2021-01-22,35375.0,35800.0,35375.0,35400.0,34910.6328125,16165800
2021-01-25,36000.0,36000.0,35000.0,35175.0,34688.7421875,15367300
2021-01-26,34775.0,35000.0,34100.0,34100.0,33628.6015625,19731600
2021-01-27,34100.0,34650.0,33525.0,33950.0,33480.67578125,19584000
2021-01-28,33950.0,34625.0,33950.0,34500.0,34023.07421875,20925400
2021-01-29,34500.0,35000.0,33800.0,33800.0,33332.75,26552500
2021-02-01,33800.0,34600.0,32975.0,34100.0,33628.6015625,22625800
2021-02-02,34825.0,34900.0,34000.0,34000.0,33529.984375,17348200
2021-02-03,35000.0,35000.0,34125.0,34125.0,33653.2578125,13458200
2021-02-04,34600.0,35000.0,34175.0,34275.0,33801.18359375,16190100
2021-02-05,34350.0,34750.0,34275.0,34575.0,34097.03515625,10320400
2021-02-08,35250.0,35275.0,34400.0,34600.0,34121.69140625,9120800
2021-02-09,35000.0,35150.0,34775.0,34900.0,34417.54296875,15114800
2021-02-10,35250.0,35250.0,34500.0,34600.0,34121.69140625,8996900
2021-02-11,34925.0,34925.0,34200.0,34400.0,33924.453125,7385200
2021-02-15,34150.0,34450.0,33600.0,34000.0,33529.984375,16784400
2021-02-16,34400.0,34725.0,34150.0,34700.0,34220.30859375,9444200
2021-02-17,34450.0,34800.0,34250.0,34500.0,34023.07421875,13202300
2021-02-18,34250.0,34500.0,33675.0,33675.0,33209.4765625,18240800
2021-02-19,33900.0,34250.0,33800.0,34125.0,33653.2578125,14097500
2021-02-22,34500.0,34700.0,33950.0,33950.0,33480.67578125,13782600
2021-02-23,34100.0,34225.0,33875.0,34125.0,33653.2578125,11672000
2021-02-24,34125.0,34175.0,33625.0,33625.0,33160.16796875,14373800
2021-02-25,33700.0,33850.0,33400.0,33525.0,33061.55078125,15737600
2021-02-26,33525.0,34050.0,33225.0,33550.0,33086.20703125,34726300
2021-03-01,34150.0,35225.0,34000.0,35225.0,34738.05078125,41107800
2021-03-02,35600.0,35800.0,35000.0,35075.0,34590.125,16289300
2021-03-03,35325.0,35425.0,35000.0,35000.0,34516.16015625,16894000
2021-03-04,34525.0,35000.0,33600.0,33600.0,33135.515625,24160500
2021-03-05,33600.0,34625.0,33600.0,34000.0,33529.984375,22374300
2021-03-08,34750.0,34750.0,33600.0,33600.0,33135.515625,18176600
2021-03-09,33500.0,33575.0,33000.0,33025.0,32568.462890625,27116400
2021-03-10,33600.0,33600.0,33100.0,33525.0,33061.55078125,10060400
2021-03-12,34375.0,34400.0,33575.0,33825.0,33357.40234375,14865600
2021-03-15,34075.0,34100.0,33325.0,33325.0,32864.31640625,11483200
2021-03-16,33550.0,33550.0,33100.0,33125.0,32667.080078125,14151100
2021-03-17,33250.0,33325.0,33025.0,33050.0,32593.1171875,14294900
2021-03-18,33100.0,33600.0,33050.0,33525.0,33061.55078125,14013500
2021-03-19,33850.0,33850.0,33125.0,33800.0,33332.75,25170600
2021-03-22,33200.0,33400.0,33050.0,33100.0,32642.42578125,13504700
2021-03-23,33600.0,33600.0,32775.0,32825.0,32371.228515625,25552500
2021-03-24,32575.0,32750.0,32100.0,32200.0,31754.8671875,30410000
2021-03-25,32000.0,32200.0,31650.0,31850.0,31409.705078125,23820300
2021-03-26,31850.0,32225.0,31500.0,32075.0,31631.595703125,26893500
2021-03-29,32050.0,32575.0,31800.0,31800.0,31360.396484375,22674100
2021-03-30,31850.0,32275.0,31850.0,31975.0,31532.978515625,16623100
2021-03-31,31950.0,31975.0,30725.0,31075.0,30645.419921875,44678100
2021-04-01,31075.0,31350.0,30775.0,31125.0,30694.728515625,22457200
2021-04-05,31250.0,31450.0,30775.0,30775.0,30349.56640625,14662300
2021-04-06,30675.0,30850.0,30400.0,30825.0,30398.875,16043000
2021-04-07,30775.0,31375.0,30675.0,31250.0,30818.0,21581600
